ElapsedTime,Class1,Class2,Class3,BestClass
0.02,0,0,0,0
0.04,0,0,0,0
0.14,0,0,0,0
0.18243,0,0,0,0
0.2018345,0,0,0,0
0.2184021,0,0,0,0
0.2349706,0,0,0,0
0.2515497,0,0,0,0
0.2688316,0,0,0,0
0.2848208,0,0,0,0
0.3012365,0,0,0,0
0.317846,0,0,0,0
0.3419857,0,0,0,0
0.3588161,0,0,0,0
0.3751209,0,0,0,0
0.3918298,0,0,0,0
0.4087903,0,0,0,0
0.4248193,0,0,0,0
0.441843,0,0,0,0
0.4579529,0,0,0,0
0.4748132,0,0,0,0
0.4918571,0,0,0,0
0.5078429,0,0,0,0
0.524218,0,0,0,0
0.5408369,0,0,0,0
0.557354,0,0,0,0
0.5739212,0,0,0,0
0.5904913,0,0,0,0
0.6070552,0,0,0,0
0.6236207,0,0,0,0
0.6409081,0,0,0,0
0.6567531,0,0,0,0
0.6738569,0,0,0,0
0.6898863,0,0,0,0
0.70683,0,0,0,0
0.7230195,0,0,0,0
0.7398733,0,0,0,0
0.7561548,0,0,0,0
0.7728578,0,0,0,0
0.7892875,0,0,0,0
0.8058687,0,0,0,0
0.822867,0,0,0,0
0.8389879,0,0,0,0
0.8555548,0,0,0,0
0.8721216,0,0,0,0
0.8886871,0,0,0,0
0.9052535,0,0,0,0
0.9219189,0,0,0,0
0.9389233,0,0,0,0
0.9549547,0,0,0,0
0.9715244,0,0,0,0
0.9880863,0,0,0,0
1.004828,0,0,0,0
1.023141,0,0,0,0
1.037943,0,0,0,0
1.054934,0,0,0,0
1.070979,0,0,0,0
1.087488,0,0,0,0
1.104054,0,0,0,0
1.120915,0,0,0,0
1.137187,0,0,0,0
1.153939,0,0,0,0
1.17032,0,0,0,0
1.187014,0,0,0,0
1.203455,0,0,0,0
1.220041,0,0,0,0
1.236588,0,0,0,0
1.253155,0,0,0,0
1.269808,0,0,0,0
1.286289,0,0,0,0
1.302995,0,0,0,0
1.319421,0,0,0,0
1.335987,0,0,0,0
1.353099,0,0,0,0
1.36973,0,0,0,0
1.385767,0,0,0,0
1.402743,0,0,0,0
1.418821,0,0,0,0
1.435757,0,0,0,0
1.451954,0,0,0,0
1.468688,0,0,0,0
1.485088,0,0,0,0
1.50175,0,0,0,0
1.518736,0,0,0,0
1.534788,0,0,0,0
1.551791,0,0,0,0
1.56792,0,0,0,0
1.584488,0,0,0,0
1.601055,0,0,0,0
1.617621,0,0,0,0
1.634188,0,0,0,0
1.650778,0,0,0,0
1.667321,0,0,0,0
1.683888,0,0,0,0
1.700806,0,0,0,0
1.717762,0,0,0,0
1.733758,0,0,0,0
1.750154,0,0,0,0
1.766855,0,0,0,0
1.783788,0,0,0,0
1.799855,0,0,0,0
1.816421,0,0,0,0
1.832988,0,0,0,0
1.84976,0,0,0,0
1.866121,0,0,0,0
1.882737,0,0,0,0
1.899254,0,0,0,0
1.915825,0,0,0,0
1.932791,0,0,0,0
1.948954,0,0,0,0
1.965522,0,0,0,0
1.982088,0,0,0,0
1.998759,0,0,0,0
2.01575,0,0,0,0
2.043402,0,0,0,0
2.055938,0,0,0,0
2.072712,0,0,0,0
2.089708,0,0,0,0
2.105695,0,0,0,0
2.122206,0,0,0,0
2.138774,0,0,0,0
2.155661,0,0,0,0
2.171907,0,0,0,0
2.18865,0,0,0,0
2.205633,0,0,0,0
2.221625,0,0,0,0
2.238175,0,0,0,0
2.254742,0,0,0,0
2.271629,0,0,0,0
2.287873,0,0,0,0
2.304583,0,0,0,0
2.321573,0,0,0,0
2.337581,0,0,0,0
2.354548,0,0,0,0
2.370707,0,0,0,0
2.387274,0,0,0,0
2.403842,0,0,0,0
2.420519,0,0,0,0
2.437504,0,0,0,0
2.453541,0,0,0,0
2.470108,0,0,0,0
2.486672,0,0,0,0
2.503466,0,0,0,0
2.520457,0,0,0,0
2.539299,0,0,0,0
2.556428,0,0,0,0
2.572435,0,0,0,0
2.589001,0,0,0,0
2.605572,0,0,0,0
2.622394,0,0,0,0
2.638701,0,0,0,0
2.655384,0,0,0,0
2.671834,0,0,0,0
2.688402,0,0,0,0
2.705344,0,0,0,0
2.721534,0,0,0,0
2.738332,0,0,0,0
2.754668,0,0,0,0
2.771312,0,0,0,0
2.788327,0,0,0,0
2.804369,0,0,0,0
2.821294,0,0,0,0
2.837502,0,0,0,0
2.854261,0,0,0,0
2.871279,0,0,0,0
2.887277,0,0,0,0
2.903768,0,0,0,0
2.920336,0,0,0,0
2.937217,0,0,0,0
2.954201,0,0,0,0
2.970196,0,0,0,0
2.987193,0,0,0,0
3.004787,0,0,0,0
3.022167,0,0,0,0
3.038156,0,0,0,0
3.057009,0,0,0,0
3.074137,0,0,0,0
3.090143,0,0,0,0
3.107121,0,0,0,0
3.123277,0,0,0,0
3.140108,0,0,0,0
3.15642,0,0,0,0
3.172977,0,0,0,0
3.189544,0,0,0,0
3.206111,0,0,0,0
3.223052,0,0,0,0
3.239244,0,0,0,0
3.255811,0,0,0,0
3.272376,0,0,0,0
3.289013,0,0,0,0
3.306005,0,0,0,0
3.322083,0,0,0,0
3.338993,0,0,0,0
3.355211,0,0,0,0
3.371968,0,0,0,0
3.388345,0,0,0,0
3.404943,0,0,0,0
3.421933,0,0,0,0
3.438043,0,0,0,0
3.454916,0,0,0,0
3.471908,0,0,0,0
3.487744,0,0,0,0
3.504311,0,0,0,0
3.520887,0,0,0,0
3.537445,0,0,0,0
3.554012,0,0,0,0
3.570579,0,0,0,0
3.587851,0,0,0,0
3.603837,0,0,0,0
3.620278,0,0,0,0
3.636843,0,0,0,0
3.65341,0,0,0,0
3.669977,0,0,0,0
3.686813,0,0,0,0
3.703789,0,0,0,0
3.720058,0,0,0,0
3.736756,0,0,0,0
3.753194,0,0,0,0
3.769779,0,0,0,0
3.786756,0,0,0,0
3.802892,0,0,0,0
3.81946,0,0,0,0
3.836027,0,0,0,0
3.852593,0,0,0,0
3.86916,0,0,0,0
3.885835,0,0,0,0
3.902857,0,0,0,0
3.919056,0,0,0,0
3.935427,0,0,0,0
3.952252,0,0,0,0
3.969178,0,0,0,0
3.98513,0,0,0,0
4.002098,0,0,0,0
4.01826,0,0,0,0
4.03503,0,0,0,0
4.051393,0,0,0,0
4.068083,0,0,0,0
4.084527,0,0,0,0
4.101115,0,0,0,0
4.11811,0,0,0,0
4.134227,0,0,0,0
4.150793,0,0,0,0
4.16736,0,0,0,0
4.184141,0,0,0,0
4.201106,0,0,0,0
4.217149,0,0,0,0
4.233626,0,0,0,0
4.250194,0,0,0,0
4.26712,0,0,0,0
4.283325,0,0,0,0
4.300125,0,0,0,0
4.316459,0,0,0,0
4.33313,0,0,0,0
4.349592,0,0,0,0
4.366278,0,0,0,0
4.383268,0,0,0,0
4.399292,0,0,0,0
4.415858,0,0,0,0
4.432425,0,0,0,0
4.449239,0,0,0,0
4.465559,0,0,0,0
4.482242,0,0,0,0
4.498693,0,0,0,0
4.515259,0,0,0,0
4.532238,0,0,0,0
4.549227,0,0,0,0
4.565253,0,0,0,0
4.582205,0,0,0,0
4.598092,0,0,0,0
4.615272,0,0,0,0
4.631337,0,0,0,0
4.647791,0,0,0,0
4.664359,0,0,0,0
4.680925,0,0,0,0
4.697491,0,0,0,0
4.714325,0,0,0,0
4.731316,0,0,0,0
4.747191,0,0,0,0
4.763758,0,0,0,0
4.780324,0,0,0,0
4.796891,0,0,0,0
4.813458,0,0,0,0
4.830025,0,0,0,0
4.846593,0,0,0,0
4.863159,0,0,0,0
4.879725,0,0,0,0
4.896292,0,0,0,0
4.913157,0,0,0,0
4.93025,0,0,0,0
4.946302,0,0,0,0
4.962558,0,0,0,0
4.979138,0,0,0,0
4.996329,0,0,0,0
5.012328,0,0,0,0
5.029318,0,0,0,0
5.045391,0,0,0,0
5.061958,0,0,0,0
5.078527,0,0,0,0
5.095274,0,0,0,0
5.111657,0,0,0,0
5.128442,0,0,0,0
5.145438,0,0,0,0
5.161495,0,0,0,0
5.177924,0,0,0,0
5.194491,0,0,0,0
5.211058,0,0,0,0
5.227623,0,0,0,0
5.244461,0,0,0,0
5.260757,0,0,0,0
5.277537,0,0,0,0
5.29389,0,0,0,0
5.310532,0,0,0,0
5.32755,0,0,0,0
5.343592,0,0,0,0
5.360543,0,0,0,0
5.376725,0,0,0,0
5.393503,0,0,0,0
5.410709,0,0,0,0
5.426736,0,0,0,0
5.443709,0,0,0,0
5.45972,0,0,0,0
5.476125,0,0,0,0
5.492711,0,0,0,0
5.509776,0,0,0,0
5.525824,0,0,0,0
5.542765,0,0,0,0
5.558957,0,0,0,0
5.575757,0,0,0,0
5.59209,0,0,0,0
5.608777,0,0,0,0
5.625223,0,0,0,0
5.641796,0,0,0,0
5.658962,0,0,0,0
5.674922,0,0,0,0
5.692145,0,0,0,0
5.708134,0,0,0,0
5.724623,0,0,0,0
5.741191,0,0,0,0
5.757757,0,0,0,0
5.774323,0,0,0,0
5.791186,0,0,0,0
5.807457,0,0,0,0
5.824203,0,0,0,0
5.84059,0,0,0,0
5.857212,0,0,0,0
5.874183,0,0,0,0
5.890291,0,0,0,0
5.90726,0,0,0,0
5.923424,0,0,0,0
5.940225,0,0,0,0
5.956557,0,0,0,0
5.973178,0,0,0,0
5.989691,0,0,0,0
6.006258,0,0,0,0
6.023243,0,0,0,0
6.039391,0,0,0,0
6.056225,0,0,0,0
6.072524,0,0,0,0
6.089472,0,0,0,0
6.10616,0,0,0,0
6.123257,0,0,0,0
6.139175,0,0,0,0
6.156328,0,0,0,0
6.172365,0,0,0,0
6.188933,0,0,0,0
6.205442,0,0,0,0
6.222009,0,0,0,0
6.238914,0,0,0,0
6.255896,0,0,0,0
6.271918,0,0,0,0
6.288274,0,0,0,0
6.304921,0,0,0,0
6.321409,0,0,0,0
6.338005,0,0,0,0
6.355036,0,0,0,0
6.371183,0,0,0,0
6.387675,0,0,0,0
6.405116,0,0,0,0
6.420808,0,0,0,0
6.438137,0,0,0,0
6.454108,0,0,0,0
6.471111,0,0,0,0
6.487097,0,0,0,0
6.503642,0,0,0,0
